title,type,release_year,runtime,genres,lead_production_country,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,name,role,dbscan_cluster
Mujrim,MOVIE,1989,162,drama,IN,5.5,232.0,5.599,8.0,Mithun Chakraborty,ACTOR,8
Sohni Mahiwal,MOVIE,1985,160,drama,IN,6.1,297.0,5.222,5.8,Sunny Deol,ACTOR,8
Dil,MOVIE,1990,172,drama,IN,6.6,5467.0,3.882,6.5,Aamir Khan,ACTOR,8
Pyar Ke Do Pal,MOVIE,1986,153,action,IN,6.2,78.0,2.694,10.0,Mithun Chakraborty,ACTOR,14
Jaal,MOVIE,1986,159,action,IN,5.2,141.0,2.034,6.7,Rekha,ACTOR,14
Duniya,MOVIE,1984,170,action,IN,6.4,265.0,1.947,10.0,Ashok Kumar,ACTOR,14
Aakhri Adaalat,MOVIE,1988,148,crime,IN,5.4,103.0,1.932,5.0,Vinod Khanna,ACTOR,12
Quiet Victory: The Charlie Wedemeyer Story,MOVIE,1988,100,drama,US,7.2,149.0,1.93,8.0,Pam Dawber,ACTOR,1
Muqaddar Ka Faisla,MOVIE,1987,172,comedy,IN,4.8,73.0,1.908,6.633193712829227,Raaj Kumar,ACTOR,24
"Alexandria, Again and Forever",MOVIE,1990,105,drama,EG,6.5,720.0,1.764,5.3,Youssef Chahine,ACTOR,7
Adam: His Song Continues,MOVIE,1986,100,crime,US,6.9,220.0,1.742,7.5,JoBeth Williams,ACTOR,3
A Stoning in Fulham County,MOVIE,1988,95,drama,US,5.9,416.0,1.646,5.3,Ron Perlman,ACTOR,1
Ek Jaan Hain Hum,MOVIE,1983,151,family,IN,6.3,79.0,1.506,7.0,Rakesh Bedi,ACTOR,25
Too Young The Hero,MOVIE,1988,100,drama,US,6.8,519.0,1.467,6.2,Ricky Schroder,ACTOR,1
An Egyptian Story,MOVIE,1983,129,drama,EG,7.3,1190.0,1.19,6.7,Nour El-Sherif,ACTOR,7
Survivor,SHOW,2000,48,reality,US,7.5,25709.0,66.565,7.426,Jeff Probst,ACTOR,26
One Piece,SHOW,1999,23,action,JP,8.9,133488.0,174.112,8.707,Mayumi Tanaka,ACTOR,27
